Rotor: R1-9x0d(90), Hopper: H0, RPM: 5.208333, Dose: 100.000000, Logger_Version: 0.2
x, y, z, size, die_time 
-0.179506, -16.108692, -98.891449, 1.108556, 633.393005 
-43.393921, -11.730352, -98.906700, 1.093302, 618.207397 
-13.264315, -13.329231, -98.185181, 1.814824, 496.641327 
-42.090794, -15.547657, -98.106453, 1.893549, 639.935547 
-21.985390, -10.125075, -98.668732, 1.331276, 630.650757 
19.720276, -30.445969, -98.775208, 1.224788, 485.249908 
-22.244053, -25.662548, -98.584137, 1.415868, 638.322510 
30.736506, -9.756646, -98.790253, 1.209761, 487.228333 
-22.891850, -23.658859, -98.613129, 1.386874, 773.262512 
9.543324, -2.386174, -98.649055, 1.350941, 654.476990 
-32.759346, -5.994673, -98.098938, 1.901058, 657.810547 
30.652597, -5.427844, -98.964096, 1.035911, 790.091431 
-31.835899, -15.052528, -98.563049, 1.436947, 636.134827 
-55.346344, -16.358791, -98.980713, 1.019296, 482.604828 
-35.182331, -7.952110, -98.125107, 1.874890, 645.712463 
-33.492432, -14.064297, -98.432655, 1.567347, 481.287262 
41.833775, -8.760712, -98.891052, 1.108943, 508.109955 
-8.668959, -13.165447, -98.446777, 1.553229, 645.024902 
-28.426086, -2.744735, -98.310608, 1.689392, 636.824951 
-41.682968, -4.211748, -98.071152, 1.928857, 945.548523 
-48.659340, -18.278946, -98.397087, 1.602917, 490.452820 
25.313667, -13.493650, -98.594185, 1.405816, 493.404785 
-34.256817, -27.867683, -98.682098, 1.317899, 629.935791 
2.659774, -11.001996, -98.307076, 1.692924, 499.573364 
-11.904953, -13.208965, -98.744087, 1.255917, 629.617310 
21.720160, -12.803193, -98.856514, 1.143485, 773.592712 
-4.152303, -25.665119, -98.641731, 1.358274, 482.251373 
-37.963867, -9.105757, -98.218086, 1.781912, 640.808899 
-15.342804, -6.945207, -98.485481, 1.514513, 696.776489 
-49.800335, -9.190029, -98.473297, 1.526698, 642.052551 
1.708392, -5.630826, -98.635597, 1.364397, 778.052490 
-39.408836, -17.850683, -98.075516, 1.924482, 498.109314 
15.784523, -10.036128, -98.446663, 1.553335, 504.617706 
-37.794773, 0.687973, -98.525436, 1.474574, 632.923584 
29.986523, -14.729614, -98.902473, 1.097524, 485.685120 
-19.285290, -13.695711, -98.667206, 1.332799, 489.924866 
-43.125103, -13.176566, -98.134132, 1.865862, 649.494751 
-19.624554, -15.516713, -98.990150, 1.009849, 472.562866 
-18.693426, -27.526955, -98.355392, 1.644604, 489.443390 
-35.597897, 10.246584, -98.315819, 1.684184, 658.177246 
-17.563879, -16.640379, -98.588905, 1.411093, 636.900574 
-9.207743, -17.528217, -98.621689, 1.378315, 636.758057 
